ID,STATUS
5001711,X
5001712,C
5001713,X
5001714,X
5001715,X
5001717,C
5001718,C
5001719,C
5001720,1
5001723,X
5001724,C
5001725,0
5001726,C
5001728,0
5001729,C
5001730,C
5001731,X
5001732,X
5001733,X
5001734,0
5001735,C
5001736,C
5001737,C
5001738,C
5001739,C
5001742,C
5001743,C
5001744,C
5001745,X
5001746,X
5001747,C
5001748,C
5001754,X
5001755,C
5001756,C
5001757,0
5001758,X
5001759,C
5001760,C
5001765,C
5001766,C
5001767,X
5001768,X
5001769,X
5001770,X
5001771,X
5001772,0
5001773,C
5001774,C
5001775,C
5001778,X
5001779,X
5001780,X
5001782,0
5001783,0
5001784,0
5001785,0
5001786,C
5001789,C
5001790,C
5001791,X
5001792,X
5001793,1
5001794,C
5001795,X
5001796,X
5001798,C
5001800,0
5001803,X
5001804,C
5001805,C
5001806,C
5001807,C
5001808,C
5001812,0
5001813,X
5001816,1
5001817,X
5001818,C
5001819,X
5001820,C
5001821,X
5001823,0
5001825,X
5001827,X
5001828,0
5001829,X
5001830,C
5001831,0
5001832,C
5001833,C
5001836,1
5001837,C
5001838,0
5001839,C
5001840,C
5001841,C
5001842,0
5001843,C
5001844,C
5001846,X
5001847,0
5001848,0
5001849,C
5001850,C
5001851,C
5001852,C
5001853,C
5001854,C
5001855,C
5001856,C
5001857,0
5001858,C
5001860,X
5001861,X
5001862,X
5001863,X
5001864,X
5001867,C
5001870,X
5001871,X
5001872,0
5001873,X
5001874,X
5001875,X
5001876,0
5001877,0
5001879,X
5001882,C
5001883,C
5001886,0
5001887,0
5001888,0
5001889,0
5001890,C
5001891,C
5001892,C
5001893,X
5001894,X
5001895,C
5001896,C
5001897,0
5001898,C
5001899,X
5001900,C
5001901,C
5001902,X
5001904,X
5001905,C
5001906,C
5001907,X
5001908,0
5001909,0
5001910,C
5001911,C
5001912,C
5001913,C
5001914,C
5001915,X
5001916,X
5001917,X
5001918,C
5001919,C
5001920,0
5001921,C
5001922,C
5001923,C
5001924,0
5001925,X
5001926,0
5001927,0
5001931,X
5001932,X
5001933,C
5001936,C
5001940,C
5001941,C
5001942,C
5001943,C
5001944,0
5001945,0
5001946,0
5001947,C
5001948,0
5001949,X
5001950,X
5001951,C
5001952,C
5001953,C
5001954,C
5001956,C
5001957,0
5001958,C
5001959,0
5001960,X
5001961,0
5001962,X
5001963,X
5001964,X
5001965,C
5001966,C
5001967,C
5001968,C
5001970,0
5001976,X
5001982,X
5001983,0
5001986,C
5001987,C
5001988,C
5001989,0
5001990,C
5001991,C
5001993,X
5001994,X
5001995,X
5001997,X
5001998,0
5001999,C
5002000,C
5002001,C
5002002,0
5002003,C
5002004,C
5002005,C
5002006,C
5002007,C
5002008,C
5002009,C
5002010,C
5002011,0
5002012,C
5002013,C
5002015,0
5002016,C
5002018,X
5002019,C
5002020,X
5002021,C
5002022,C
5002023,X
5002024,X
5002025,C
5002026,0
5002028,C
5002029,X
5002030,0
5002031,C
5002032,X
5002033,X
5002034,X
5002035,X
5002037,X
5002038,0
5002039,X
5002042,C
5002043,X
5002044,X
5002046,X
5002047,C
5002048,C
5002049,C
5002050,0
5002052,X
5002054,X
5002055,X
5002057,C
5002058,C
5002059,X
5002060,C
5002061,0
5002062,0
5002068,C
5002069,C
5002070,X
5002071,0
5002072,C
5002073,C
5002076,X
5002077,X
5002078,X
5002079,X
5002080,X
5002081,0
5002082,X
5002083,C
5002084,0
5002085,C
5002087,C
5002088,C
5002091,C
5002094,X
5002096,C
5002097,C
5002098,0
5002101,C
5002104,C
5002105,C
5002106,C
5002107,C
5002108,C
5002109,C
5002110,0
5002111,X
5002112,C
5002113,X
5002114,X
5002115,C
5002116,C
5002118,0
5002120,C
5002121,0
5002123,C
5002124,0
5002126,C
5002128,C
5002130,0
5002131,0
5002134,C
5002135,X
5002138,X
5002140,C
5002141,C
5002142,0
5002144,C
5002145,0
5002146,C
5002147,X
5002148,0
5002149,C
5002150,C
5002151,X
5002152,X
5002153,X
5002154,X
5002155,C
5002156,C
5002157,X
5002158,C
5002160,0
5002161,C
5002162,C
5002163,C
5002164,C
5002165,0
5002168,X
5002169,0
5002171,C
5002175,C
5002176,X
5002177,X
5002178,X
5002179,X
5002181,0
5002182,0
5002183,X
5002186,0
5002189,C
5002190,X
5002191,C
5002192,0
5002194,0
5002196,X
5002197,X
5002199,X
5002200,X
5002201,C
5002202,C
5002204,0
5002205,X
5002206,C
5002207,X
5002208,C
5002209,0
5002216,0
5002217,0
5002218,C
5002219,C
5002220,C
5002221,C
5002222,C
5002223,X
5002224,X
5002225,1
5002226,X
5002227,C
5002228,X
5002229,C
5002230,X
5002231,C
5002232,0
5002233,X
5002234,C
5002236,X
5002237,X
5002238,X
5002239,C
5002241,0
5002242,C
5002243,C
5002244,C
5002245,0
5002246,C
5002247,C
5002248,0
5002249,0
5002250,0
5002251,X
5002253,0
5002254,0
5002255,0
5002256,C
5002257,C
5002258,C
5002259,C
5002260,C
5002262,C
5002263,0
5002264,C
5002265,X
5002266,C
5002267,C
5002268,0
5002270,X
5002271,C
5002283,C
5002285,0
5002286,C
5002287,C
5002289,C
5002291,0
5002292,0
5002293,X
5002294,1
5002296,X
5002297,C
5002298,C
5002299,C
5002300,C
5002301,0
5002302,0
5002303,0
5002304,X
5002305,X
5002306,X
5002309,C
5002310,0
5002311,X
5002312,X
5002313,0
5002314,C
5002315,C
5002316,C
5002317,C
5002319,X
5002320,C
5002321,C
5002322,0
5002323,C
5002326,C
5002330,C
5002331,C
5002332,C
5002333,C
5002335,X
5002336,X
5002337,X
5002338,X
5002339,X
5002340,X
5002341,X
5002342,X
5002343,C
5002344,X
5002345,X
5002346,C
5002347,C
5002348,C
5002349,X
5002350,0
5002351,C
5002352,C
5002353,C
5002354,C
5002355,0
5002356,X
5002360,X
5002365,X
5002368,X
5002369,C
5002370,0
5002373,C
5002374,C
5002375,0
5002376,X
5002377,X
5002378,X
5002380,C
5002381,C
5002383,X
5002384,C
5002385,C
5002386,X
5002387,X
5002388,X
5002390,C
5002391,C
5002392,C
5002394,C
5002395,C
5002396,X
5002397,0
5002398,0
5002399,X
5002402,0
5002403,0
5002404,0
5002405,C
5002408,X
5002409,X
5002410,0
5002411,C
5002412,C
5002413,0
5002418,C
5002420,0
5002421,0
5002422,0
5002424,C
5002425,C
5002426,C
5002427,C
5002428,C
5002429,0
5002430,0
5002431,0
5002432,C
5002433,C
5002434,X
5002435,X
5002436,C
5002437,0
5002438,X
5002439,C
5002441,0
5002443,0
5002444,0
5002445,0
5002446,X
5002447,0
5002448,0
5002449,X
5002450,C
5002453,C
5002454,C
5002455,X
5002456,C
5002457,X
5002458,0
5002459,0
5002460,C
5002462,C
5002465,C
5002467,X
5002469,X
5002472,X
5002474,C
5002475,0
5002476,X
5002477,X
5002479,C
5002480,0
5002481,0
5002482,C
5002483,X
5002484,C
5002485,0
5002486,X
5002487,X
5002488,C
5002489,0
5002490,C
5002491,X
5002492,C
5002495,X
5002496,X
5002497,X
5002501,C
5002502,C
5002505,0
5002507,0
5002508,0
5002509,0
5002510,C
5002511,C
5002512,X
5002514,C
5002515,X
5002518,C
5002519,C
5002520,0
5002521,0
5002523,C
5002524,C
5002525,C
5002526,C
5002527,1
5002528,C
5002533,X
5002534,X
5002537,0
5002538,X
5002539,X
5002540,X
5002541,C
5002543,C
5002544,X
5002545,1
5002547,X
5002548,0
5002549,X
5002550,C
5002551,0
5002554,C
5002555,0
5002556,0
5002557,0
5002558,0
5002559,0
5002560,C
5002562,X
5002563,X
5002564,C
5002565,C
5002566,C
5002567,C
5002568,0
5002570,C
5002571,C
5002572,C
5002573,C
5002574,0
5002575,0
5002576,0
5002578,X
5002579,C
5002581,0
5002582,0
5002583,X
5002584,X
5002585,C
5002586,C
5002587,C
5002588,C
5002589,0
5002590,0
5002591,C
5002592,C
5002593,C
5002594,C
5002595,C
5002597,0
5002598,X
5002599,C
5002601,C
5002602,C
5002603,C
5002604,C
5002605,X
5002606,C
5002607,C
5002608,0
5002609,C
5002611,C
5002612,0
5002615,C
5002616,X
5002617,C
5002618,X
5002620,X
5002621,C
5002622,0
5002623,0
5002624,X
5002626,C
5002628,0
5002629,0
5002630,X
5002631,X
5002633,0
5002636,0
5002637,0
5002638,1
5002639,C
5002642,C
5002644,C
5002645,X
5002646,C
5002647,0
5002649,0
5002650,C
5002651,0
5002652,X
5002653,X
5002654,X
5002655,X
5002660,C
5002661,0
5002662,0
5002665,C
5002666,C
5002667,X
5002668,C
5002669,C
5002670,X
5002671,X
5002672,C
5002673,X
5002674,C
5002675,X
5002677,C
5002679,C
5002680,0
5002683,X
5002684,X
5002685,X
5002686,X
5002687,X
5002688,0
5002689,0
5002690,X
5002691,C
5002694,X
5002695,C
5002696,C
5002697,0
5002698,C
5002699,X
5002700,C
5002701,C
5002702,X
5002703,C
5002704,X
5002705,X
5002706,X
5002708,0
5002709,C
5002710,0
5002711,0
5002713,0
5002715,X
5002716,0
5002717,X
5002718,X
5002719,X
5002720,X
5002722,C
5002723,X
5002725,X
5002727,C
5002728,0
5002729,C
5002730,0
5002731,0
5002732,0
5002733,C
5002734,C
5002735,C
5002736,X
5002737,X
5002738,X
5002739,C
5002740,0
5002741,C
5002742,X
5002743,C
5002744,C
5002745,X
5002747,C
5002749,C
5002750,C
5002752,X
5002753,C
5002754,C
5002755,0
5002756,X
5002757,X
5002758,C
5002759,C
5002760,C
5002762,X
5002763,X
5002765,0
5002766,C
5002767,X
5002768,X
5002769,C
5002770,C
5002776,X
5002779,C
5002780,C
5002781,C
5002782,C
5002783,C
5002784,0
5002787,X
5002788,C
5002789,0
5002790,C
5002791,0
5002792,0
5002793,C
5002795,C
5002796,C
5002798,0
5002799,C
5002800,X
5002804,C
5002805,X
5002806,X
5002807,0
5002808,0
5002809,0
5002810,1
5002811,C
5002812,C
5002813,C
5002814,C
5002815,X
5002817,C
5002818,X
5002819,0
5002820,0
5002821,C
5002822,X
5002825,C
5002827,C
5002828,C
5002829,X
5002830,C
5002831,C
5002832,0
5002833,0
5002837,0
5002840,C
5002841,0
5002843,C
5002844,C
5002845,X
5002846,0
5002847,X
5002848,C
5002849,C
5002850,C
5002851,X
5002852,0
5002853,X
5002854,C
5002855,0
5002856,X
5002857,C
5002860,X
5002862,C
5002863,C
5002864,C
5002865,X
5002866,0
5002867,C
5002869,0
5002870,C
5002871,C
5002872,0
5002873,X
5002874,C
5002878,0
5002879,C
5002882,0
5002883,0
5002884,0
5002886,C
5002887,C
5002888,X
5002889,C
5002890,C
5002892,X
5002893,C
5002894,C
5002895,C
5002896,C
5002897,0
5002898,0
5002899,X
5002900,C
5002901,C
5002902,C
5002903,0
5002904,0
5002905,0
5002906,C
5002909,C
5002910,C
5002911,C
5002912,X
5002913,X
5002914,C
5002917,X
5002918,X
5002919,X
5002920,C
5002921,0
5002922,X
5002923,C
5002929,C
5002930,C
5002931,C
5002933,X
5002934,C
5002935,C
5002936,0
5002937,0
5002949,X
5002950,0
5002953,C
5002955,X
5002956,X
5002961,0
5002962,C
5002963,X
5002966,X
5002967,C
5002968,C
5002969,C
5002970,C
5002971,C
5002972,C
5002973,C
5002974,C
5002975,C
5002976,C
5002977,C
5002978,C
5002979,C
5002981,C
5002982,C
5002983,C
5002985,X
5002986,0
5002987,C
5002988,C
5002989,C
5002990,C
5002991,X
5002993,C
5002994,C
5002995,C
5002996,X
5002999,C
5003000,0
5003001,0
5003002,0
5003003,0
5003006,X
5003007,C
5003008,X
5003011,X
5003012,X
5003013,X
5003014,C
5003015,0
5003016,0
5003017,0
5003018,0
5003019,C
5003020,C
5003021,X
5003023,C
5003024,X
5003025,C
5003026,C
5003027,C
5003028,C
5003029,X
5003030,C
5003031,C
5003033,C
5003034,X
5003035,C
5003036,C
5003037,C
5003038,C
5003039,C
5003040,C
5003041,C
5003042,C
5003043,C
5003046,X
5003049,X
5003050,X
5003051,C
5003052,C
5003053,C
5003054,0
5003056,0
5003057,X
5003058,X
5003059,X
5003061,0
5003065,C
5003067,C
5003068,C
5003069,C
5003070,C
5003073,C
5003074,C
5003075,C
5003076,C
5003079,0
5003082,X
5003083,0
5003084,C
5003086,0
5003088,C
5003089,0
5003090,C
5003091,C
5003092,C
5003093,C
5003094,C
5003095,C
5003096,C
5003097,C
5003098,0
5003099,C
5003100,C
5003101,C
5003102,0
5003103,X
5003104,X
5003106,C
5003107,C
5003108,C
5003110,X
5003111,C
5003112,X
5003113,C
5003115,C
5003116,C
5003117,C
5003118,C
5003119,X
5003120,X
5003121,C
5003122,C
5003123,C
5003124,0
5003125,C
5003126,C
5003127,C
5003128,C
5003129,C
5003131,C
5003132,0
5003133,C
5003134,0
5003135,0
5003136,C
5003137,C
5003138,C
5003139,C
5003140,X
5003141,C
5003142,0
5003143,C
5003144,C
5003145,C
5003146,C
5003147,C
5003148,X
5003149,X
5003150,X
5003151,C
5003152,C
5003153,X
5003154,X
5003155,C
5003156,C
5003157,C
5003158,X
5003159,X
5003160,C
5003161,X
5003162,C
5003163,C
5003164,C
5003165,C
5003166,C
5003167,C
5003168,X
5003169,C
5003170,C
5003171,0
5003172,0
5003173,C
5003174,C
5003175,C
5003176,0
5003177,1
